dJD,UTC,Object,Exptime,Tilt,File,Sky,Spectrum,Notes
53.931,19:04,HD_146233,2.19,13.25,mbxgpP201408120033,1145:1175,1084:1124,"So bright! It doesn’t matter where we sample it, really."
53.931,19:04,HD_146233,2.19,13.25,mbxgpP201408120034,1141:1175,1081:1133,
53.94,19:18,HD_146233,2.19,20.375,mbxgpP201408120047,1130:1160,1064:1104,
53.94,19:18,HD_146233,2.19,20.375,mbxgpP201408120048,1123:1163,1065:1099,
57.955,19:39,HD_146233,2.19,13.2525,mbxgpP201408160078,939:983,999:1040,
57.955,19:39,HD_146233,2.19,13.2525,mbxgpP201408160079,942:985,1005:1040,
57.962,19:50,HD_146233,4.19,20.375,mbxgpP201408160092,933:977,1001:1047,
57.963,19:50,HD_146233,4.19,20.375,mbxgpP201408160093,919:980,996:1051,
57.963,19:50,HD_146233,2.19,20.375,mbxgpP201408160094,945:985,1004:1045,
58.053,22:00,Pluto,300.19,13.2475,mbxgpP201408160107,997:1024,1035:1052,"Two bright spectra. Not sure which one it is. I am choosing the second one, which is lower, fainter, and closer to proper position. Also, spectrum of britgher one looks vaguely weird and non-solar. ** I see the bright star in the finder chart. Spectrum agrees with it. I would have deleted it from the queue had I known, but I'm glad I didn't -- I think it is just fine because there is plenty of separation."
58.056,22:05,Pluto,300.19,13.2475,mbxgpP201408160108,986:1024,1032:1056,
58.065,22:18,Pluto,272.19,20.3775,mbxgpP201408160121,1047:1080,1028:1050,Same two bright spectra
58.069,22:23,Pluto,272.19,20.3775,mbxgpP201408160122,1047:1080,1025:1046,Same two bright spectra
60.046,21:50,Pluto,300.19,13.2475,mbxgpP201408180074,977:1004,1009:1040,Back to one spectrum now.
60.05,21:55,Pluto,300.19,13.2475,mbxgpP201408180075,1046:1081,1011:1039,
60.059,22:09,Pluto,275.19,20.3775,mbxgpP201408180088,1043:1079,1008:1034,Back to lots of atmo contam. Measuring above again to get less field curvature.
60.063,22:14,Pluto,275.19,20.3775,mbxgpP201408180089,1040:1070,1008:1032,Atmo contam
64.042,21:45,Pluto,300.19,13.2475,mbxgpP201408220040,1065:1090,1037:1061,Faint all around
64.046,21:50,Pluto,300.2,13.2475,mbxgpP201408220041,995:1024,1032:1060,Star close above -- tight limit and measure sky below.
64.053,22:00,Pluto,272.2,20.375,mbxgpP201408220048,1000:1025,1033:1056,"Atmo lines, but faint. ** Had to redo this one. Now it is below -- was above and ontop of star."
64.057,22:05,Pluto,272.2,20.375,mbxgpP201408220049,1000:1025,1030:1055,** Had to redo this one. Now it is below -- was above and ontop of star.
65.036,21:35,Pluto,300.19,13.2475,mbxgpP201408230036,964:995,1014:1032,
65.039,21:41,Pluto,300.19,13.2475,mbxgpP201408230037,970:1000,1008:1030,V. faint star above?
65.049,21:54,Pluto,272.19,20.375,mbxgpP201408230050,986:1000,1007:1029,"V. faint star above. Atmo lines. So sample below, but sampled pretty tight. Keep an eye on this one."
65.052,21:59,Pluto,272.2,20.375,mbxgpP201408230051,974:1003,1005:1027,V. faint star above. Sampled below.
67.029,21:26,Pluto,300.19,13.2475,mbxgpP201408250023,970:1004,1014:1039,
67.033,21:31,Pluto,300.19,13.2475,mbxgpP201408250024,980:1005,1011:1035,
67.056,22:05,Pluto,272.19,20.3775,mbxgpP201408250037,1035:1060,1007:1027,Atmo lines
67.06,22:10,Pluto,272.2,20.375,mbxgpP201408250038,1035:1060,1007:1027,
67.89,18:05,HD_146233,2.19,13.2475,mbxgpP201408260005,942:982,1009:1040,Bright
67.89,18:05,HD_146233,2.19,13.2475,mbxgpP201408260006,950:980,1009:1040,
67.895,18:13,HD_146233,2.19,20.3775,mbxgpP201408260013,950:988,1007:1037,
67.895,18:13,HD_146233,2.19,20.3775,mbxgpP201408260014,970:1000,1007:1033,
68.031,21:28,Pluto,300.19,13.2475,mbxgpP201408260040,950:976,990:1010,
68.034,21:33,Pluto,300.19,13.2475,mbxgpP201408260041,940:981,985:1008,
68.044,21:47,Pluto,272.19,20.3725,mbxgpP201408260054,1006:1036,983:1003,Atmo lines
68.047,21:52,Pluto,272.19,20.3725,mbxgpP201408260055,1006:1036,983:1003,
77.863,,HD_146233,2.19,13.2475,mbxgpP201409050029,1183:1222,1127:1155,
77.863,,HD_146233,2.19,13.2475,mbxgpP201409050030,1176:1215,1126:1155,
77.863,,HD_146233,2.19,13.2475,mbxgpP201409050031,1071:1109,1125:1153,
77.863,,HD_146233,2.19,13.2475,mbxgpP201409050032,1190:1240,1118:1153,"Very bright, good."
77.868,,HD_146233,2.19,20.375,mbxgpP201409050039,1165:1208,1102:1143,
77.868,,HD_146233,2.19,20.375,mbxgpP201409050040,1155:1193,1110:1133,
78.004,,Pluto,300.19,13.2525,mbxgpP201409050189,1055:1085,1023:1040,Spectrum looks terrible. Maybe it's Pluto? Not sure. But super faint. And there are a bunch of rows shaded out.
78.008,,Pluto,300.19,13.2525,mbxgpP201409050190,1050:1074,1024:1034,Spectrum looks terrible. Maybe it's Pluto? Not sure. But super faint. And there are a bunch of rows shaded out.
78.012,,Pluto,300.19,13.2525,mbxgpP201409050191,1055:1085,1021:1039,
78.02,,Pluto,300.19,20.375,mbxgpP201409050198,1042:1062,1021:1033,Wood-grain interference pattern? Though strong spectrum.
78.023,,Pluto,300.19,20.3725,mbxgpP201409050199,1041:1056,1024:1033,"Wood-grain interference pattern? Though strong spectrum. Hard to find good sky, though."
78.027,,Pluto,300.19,20.3725,mbxgpP201409050200,1038:1058,1022:1032,"Wood-grain interference pattern? Though strong spectrum. Hard to find good sky, though."
78.031,,Pluto,300.19,20.3725,mbxgpP201409050201,1035:1056,1022:1031,
